fruitlegumes001;;;
fruitlegumes061;FRAMBOISE ;Maroc sous-abri barq.125g	;12.00 	= 	10.40 	12.80;
fruitlegumes062;FRAMBOISE ;Portugal barq.125g	;12.80 	= 	11.20 	13.60;
fruitlegumes063;HARICOT VERT Coco plat; Maroc cat.I très fin ;	3.50 	= 	3.00 	3.80;
fruitlegumes064;HARICOT VERT vert ;Maroc cat.Ifin 	;2.50 	= 	2.20 	2.80;
fruitlegumes065;HARICOT VERT vert ;Maroc cat.Itrès fin 	;3.20 	= 	2.80 	3.50;
fruitlegumes066;KIWI Hayward; France cat.I 85-95;(33 fruits) colis 	2.40 	+0.10 	1.80 	2.50;
fruitlegumes067;KIWI Hayward; France cat.I 95-105;(30 fruits) colis 	2.60 	+0.10 	2.20 	2.70;
fruitlegumes068;KIWI Hayward ;Grèce cat.I 105-115g;27 fruits) colis 	1.50 	+0.10 	1.20 	1.60;
fruitlegumes069;LAITUE Batavia blonde ;France cat.I +400g;; colis de 12 (les 12 pièces) 	7.00 	= 	6.50 	7.50;
fruitlegumes070;LAITUE Feuille de chêne ;blonde France cat.I +400g ;colis de 12 (les 12 pièces) 	7.00 	= 	6.50 	7.50;
fruitlegumes071;LAITUE Feuille de chêne ;rouge France cat.I +400g; colis de 12 (les 12 pièces) 	8.50 	= 	8.00 	9.00;
fruitlegumes072;LAITUE Iceberg; Espagne cat.I ;colis de 10 (les 10 pièces) 	5.00 	= 	4.00 	6.00;
fruitlegumes073;LAITUE pommée; France cat.I +400g ;colis de 12 (les 12 pièces) 	9.00 	= 	8.00 	10.00;
fruitlegumes074;MÂCHE Coquille; France plateau 1kg 	;5.50 	= 	5.00 	7.00;
fruitlegumes075;MÂCHE verte; France barq.150g (les 150g) ;	1.10 	= 	1.00 	1.20;
fruitlegumes076;MANGUE Kent ;Pérou avion ;	5.80 	+0.40 	5.00 	6.50;
fruitlegumes077;MANGUE Kent ;Pérou bateau ;	1.25 	= 	  	 ;
fruitlegumes078;MELON Charentais; vert Maroc cat.I 650-800g ;	2.20 	= 	2.00 	2.50;
fruitlegumes079;NAVET rond violet ;France 	;1.40 	= 	1.10 	1.60;
fruitlegumes080;NAVET rond violet ;primeur France 	;2.20 	= 	  	 ;
fruitlegumes081;NECTARINE chair blanche ;Espagne cat.I B ;	4.50 	  	  	 ;
fruitlegumes082;NOISETTE sèche; France +24mm ;	5.50 	= 	5.00 	6.50;
fruitlegumes083;OIGNON blanc;; frais Italie cat.I botte (la botte) ;	0.70 	= 	0.60 	0.75
fruitlegumes084;OIGNON jaune; France cat.I 60-80mm ;	0.30 	= 	0.25 	0.35;
fruitlegumes085;ORANGE Lane late; Espagne cat.I 2(84-96mm) ;colis 10kg 	1.20 	-0.60 	  	 ;
fruitlegumes086;ORANGE Lane late; Espagne cat.I 3(81-92mm) ;colis 10kg 	1.00 	-0.50 	  	 ;
fruitlegumes087;ORANGE Sanguinelli ;Espagne cat.I 6(70-80mm) 	;2.10 	+0.60 	2.00 	2.20;
fruitlegumes088;ORANGE Washington sanguine; Maroc cat.I 5(73-84mm) ;	1.00 	+0.05 	0.90 	1.10;
fruitlegumes089;PASTÈQUE sans pépin ;Espagne ;colis de 2 	1.60 	  	  	 ;
fruitlegumes090;PERSIL frisé U.E. 	;3.80 	= 	3.50 	4.00;
fruitlegumes091;PIMENT vert Maroc 	;1.40 	= 	1.30 	1.50;
fruitlegumes092;PLEUROTE; France plateau 	;5.00 	= 	4.50 	6.00;
fruitlegumes093;PLEUROTE ;Import cat.I moyen 	;4.50 	= 	3.50 	5.00;
fruitlegumes094;POIREAU ;France cat.I 	;0.95 	= 	0.85 	1.00;
fruitlegumes095;POIRE Conférence; Pays-Bas cat.I 65-70mm ;caisse 	1.40 	= 	1.30 	1.50;
fruitlegumes096;POIRE Doyenne du comice ;Afrique du sud cat.I; plateau 1rg 	2.50 	= 	  	 ;
fruitlegumes097;POIRE Louise Bonne ;France cat.I 65-70mm ;plateau 1rg 	2.10 	= 	2.00 	2.20;
fruitlegumes098;POIRE Williams ;Afrique du sud cat.I ;colis de 60 	1.60 	= 	1.50 	1.70;
fruitlegumes099;POIRE Williams ;Argentine cat.I ;colis de 80 	2.00 	= 	1.80 	2.10;
fruitlegumes100;POIS à écosser ;Espagne cat.I 	;2.50 	= 	2.00 	3.00;
fruitlegumes101;POIVRON rouge carré ;Espagne cat.I gros ;	2.05 	-0.05 	1.90 	2.40;
fruitlegumes102;POIVRON vert carré ;Espagne cat.I gros ;	2.05 	-0.05 	1.90 	2.40;
fruitlegumes103;POMELOS rose ;Floride ;colis de 40 	2.00 	= 	1.90 	2.10;
fruitlegumes104;POMELOS rouge ;Espagne ;colis de 45 	1.10 	= 	1.00 	1.30;
fruitlegumes105;POMELOS rouge; Israël; colis de 40 	1.30 	= 	1.20 	1.40;
fruitlegumes106;POMME Chantecler;France cat.I 201/270g ;plateau 1rg 	2.00 	= 	1.60 	2.10;
fruitlegumes107;POMME DE TERRE basique div.var.cons ;France lavée cat.I 40-70mm ;sac 10kg 	0.42 	-0.03 	0.40 	0.50
fruitlegumes108;POMME DE TERRE basique div.var.cons ;France non lavée cat.I 40-70mm ;sac 10kg 	0.35 	-0.05 	0.35 	0.50;
fruitlegumes109;POMME DE TERRE CHAIR FERME Charlotte ;France cat.I ;carton 12,5kg 	0.90 	= 	0.80 	1.05;
fruitlegumes110;POMME DE TERRE CHAIR FERME chérie; France cat.I; carton 12,5kg 	0.90 	= 	0.80 	1.05;
fruitlegumes111;POMME DE TERRE CHAIR FERME ;France lavée cat.I; grenaille carton 12,5kg 	1.00 	= 	0.90 	1.80;
fruitlegumes112;POMME Elstar ;France cat.I 170/220g ;plateau 1rg 	1.30 	= 	  	 ;
fruitlegumes113;POMME Fuji ;France cat.I 201/270g ;plateau 1rg 	1.80 	= 	1.70 	1.90;
fruitlegumes114;POMME Gala ;France cat.I 115/150g ;caisse 	0.80 	= 	0.75 	0.85;
fruitlegumes115;POMME Gala ;France cat.I 150/180g ;plateau 2rg 	1.15 	= 	1.10 	1.20;
fruitlegumes116;POMME Gala ;France cat.I 201/270g ;plateau 1rg 	1.40 	= 	1.30 	1.50;
fruitlegumes117;POMME Golden colo.1-2 ;France cat.I 201/270g ;plateau 1rg 	1.50 	= 	1.30 	1.60;
fruitlegumes118;POMME Golden ;France cat.I 136/200g; 	1.10 	= 	1.00 	1.15;
fruitlegumes119;POMME Golden ;France cat.I 170/220g ;plateau 2rg 	1.00 	= 	0.95 	1.20;
fruitlegumes120;POMME Granny smith; France cat.I 201/270g ;plateau 1rg 	1.40 	= 	1.30 	1.50;
fruitlegumes121;POMME Pink-lady; France cat.I 201/270g; plateau 1rg 	2.30 	= 	2.20 	2.40;
fruitlegumes122;POMME Reinette clochard ;France cat.I 170/220g ;plateau 1rg 	1.90 	= 	1.80 	2.00;
fruitlegumes123;POMME Reinette grise du Canada ;France cat.I 201/270g ;plateau 1rg 	1.60 	= 	1.50 	1.80;
fruitlegumes124;POMME Rouge americaine ;France cat.I 201/270g; plateau 1rg 	1.30 	= 	1.20 	1.40;
fruitlegumes125;POTIRON Muscade ;France 	;0.75 	= 	0.70 	0.80;
fruitlegumes126;RADIS; France botte (la botte) ;	0.80 	= 	0.70 	0.90;
fruitlegumes127;SHII-TAKE ;France cat.I plateau ;	8.50 	= 	8.00 	9.00;
fruitlegumes128;TOMATE cerise ;Espagne cat.I barq.250g 	;3.20 	= 	  	 ;
fruitlegumes129;TOMATE cerise ;France extra barq.250g 	;5.40 	+0.20 	4.00 	5.80;
fruitlegumes130;TOMATE ronde ;Espagne cat.I 57-67mm 	;1.00 	-0.05 	0.90 	1.10;
fruitlegumes131;TOMATE ronde; Espagne grappe cat.I ;	1.50 	-0.10 	1.50 	1.70;
fruitlegumes132;TOMATE ronde ;France grappe extra 	;3.60 	-0.10 	3.30 	3.80;
fruitlegumes133;TOMATE ronde; Maroc cat.I 57-67mm 	;0.90 	-0.10 	0.80 	1.00	 ;
