Ail;
Aubergine ; 
Avocat ; 
Chayotte ; 
Concombre ; 
Cornichon ; 
Courge ; 
Courgette ; 
Fève ; 
Haricot ; 
Haricot vert ; 
Melon ; 
Pastèque ; 
Patisson ; 
Pois ; 
Poivron ; 
Potiron ; 
Soja ; 
Tomate ; 
Aillet;
Aneth;
Artichaut;
Asperge;
Aubergine;
Avocat;
Basilic;
Bette;
Betterave rouge;
Cardon;
Carotte;
Céleri-branche;
Céleri-rave;
Cèpe;
Cerfeuil;
Champignon de Paris;
Chanterelle;
Chayotte;
Chicorée;
Chou;
Chouchou;
Chou de bruxelles;
Chou fleur;
Ciboulette;
Concombre;
Coriandre;
Cornichon;
Coulemelle;
Courge;
Courgette;
Cresson;
Crôsne;
Échalion;
Échalote;
Endive;
Épinard;
Estragon;
Fenouil;
Fève;
Gingembre;
Girolle;
Gombo;
Haricot;
Haricot vert;
Igname;
Lactaire;
Laitue;
Laurier;
Mâche;
Manioc;
Mélange salades;
Melon;
Menthe;
Mesclun;
Morille;
Mousseron;
Navet;
Oignon;
Oseille;
Panais;
Pastèque;
Patate douce;
Patisson;
Persil;
Pied-bleu;
Pied de mouton;
Piment;
Pissenlit;
Pleurote;
Poireau;
Pois;
Poivron;
Pomme de terre;
Potiron;
Radis;
Rhubarbe;
Romarin;
Roquette;
Rutabaga;
Salsifis;
Sauge;
Scorsonère;
Shii-take;
Soja;
Taro;
Thym;
Tomate;
Topinambour;
Trompette de la mort;
Truffe;
